batch,subject,faculty_initial,room,type,time,day,term,faculty_name
,ame-ii,gd,cr-12,lecture,10:00-11:00,Thu,Even(2025-26),Unknown
,mc,ra,cr-12,lecture,11:00-12:00,Thu,Even(2025-26),Ms. Rashmi R. Adatkar
,m,prh,cr-11,lecture,12:30-1:30,Thu,Even(2025-26),Ms. Pranali P. Hatode
,ame-ii_c1,gd,lab-606,lab,1:30-2:30,Thu,Even(2025-26),Unknown
sya1,pbl-ii,pu,lab-601a,lab,8:00-9:00,Thu,Even(2025-26),Mr. Prashant B. Upadhyay
sya2,m,prh,lab-605b,lab,8:00-9:00,Thu,Even(2025-26),Ms. Pranali P. Hatode
sya3,pbl-ii,mj,lab-601b,lab,8:00-9:00,Thu,Even(2025-26),Mr. Martand S. Jha
sya4,adce,td,lab-602,lab,8:00-9:00,Thu,Even(2025-26),Ms. Tilottama P. Dhake
sya1,sat-viii,pk,lab-604a,lab,10:00-11:00,Tue,Even(2025-26),Dr. Pradnya V. Kamble
sya2,adce,td,lab-602,lab,10:00-11:00,Tue,Even(2025-26),Ms. Tilottama P. Dhake
sya3,mc,ha,lab-605a,lab,10:00-11:00,Tue,Even(2025-26),Mr. Harshawardhan P. Ahire
sya4,pbl-ii,pu,lab-601b,lab,10:00-11:00,Tue,Even(2025-26),Mr. Prashant B. Upadhyay
,ame-ii_c3,gd,lab-606,lab,12:30-1:30,Tue,Even(2025-26),Unknown
,ss,sp,cr-12,lecture,8:00-9:00,Tue,Even(2025-26),Mr. Sunil D. Patil
,ame-ii,gd,cr-12,lecture,9:00-10:00,Tue,Even(2025-26),Unknown
,adce,td,cr-12,lecture,10:00-11:00,Wed,Even(2025-26),Ms. Tilottama P. Dhake
,ss,sp,cr-12,lecture,11:00-12:00,Wed,Even(2025-26),Mr. Sunil D. Patil
,m,prh,,lecture,12:30-1:30,Wed,Even(2025-26),Ms. Pranali P. Hatode
sya1,m,prh,lab-605b,lab,1:30-2:30,Wed,Even(2025-26),Ms. Pranali P. Hatode
sya2,sat-viii,pk,lab-703,lab,1:30-2:30,Wed,Even(2025-26),Dr. Pradnya V. Kamble
sya3,adce,td,lab-602,lab,1:30-2:30,Wed,Even(2025-26),Ms. Tilottama P. Dhake
sya4,mc,ra,lab-605a,lab,1:30-2:30,Wed,Even(2025-26),Ms. Rashmi R. Adatkar
,mc,ra,cr-12,lecture,8:00-9:00,Wed,Even(2025-26),Ms. Rashmi R. Adatkar
,sat-ix,sk,cr-12,lecture,9:00-10:00,Wed,Even(2025-26),Dr. Sandhya D. Kadam
lya,mcs,pk,,lecture,10:00-11:00,Fri,Odd(2023-24),Dr. Pradnya V. Kamble
sya,ent,pg,,lecture,11:00-12:00,Fri,Odd(2023-24),Mrs. Priya Gupta
,ent,pg,cr15,lecture,11:00-12:00,Fri,Odd(2023-24),Mrs. Priya Gupta
syb1,dld,sk,,lecture,12:30-1:30,Fri,Odd(2023-24),Dr. Sandhya D. Kadam
,edc,na,cr10,lecture,12:30-1:30,Fri,Odd(2023-24),Dr. Namrata Ansari
,pbl,pu,cr10,lecture,1:30-2:30,Fri,Odd(2023-24),Mr. Prashant B. Upadhyay
sya,dld,sk,,lecture,2:40-3:40,Fri,Odd(2023-24),Dr. Sandhya D. Kadam
,dld,sk,cr15,lecture,2:40-3:40,Fri,Odd(2023-24),Dr. Sandhya D. Kadam
sya,eics,sm,,lecture,3:40-4:40,Fri,Odd(2023-24),Mr. Sandeep S. Mishra
,eics,sm,cr15,lecture,3:40-4:40,Fri,Odd(2023-24),Mr. Sandeep S. Mishra
sya1,dld,ak,,lecture,9:00-10:00,Fri,Odd(2023-24),Mr. Amit T. Kukreja
tyb,dsa,ra,,lecture,10:00-11:00,Mon,Odd(2023-24),Ms. Rashmi R. Adatkar
,ame-i,ds,cr10,lecture,10:00-11:00,Mon,Odd(2023-24),Mr. Divesh Singh
tyb,dvd,svm,,lecture,11:00-12:00,Mon,Odd(2023-24),Mr. Sagar V. Mhatre
,edc,na,cr10,lecture,11:00-12:00,Mon,Odd(2023-24),Dr. Namrata Ansari
sya,eics,sm,,lecture,12:30-1:30,Mon,Odd(2023-24),Mr. Sandeep S. Mishra
syb2,dld,sk,,lecture,12:30-1:30,Mon,Odd(2023-24),Dr. Sandhya D. Kadam
,eics,sm,cr15,lecture,12:30-1:30,Mon,Odd(2023-24),Mr. Sandeep S. Mishra
sya,am-iii,ds,,tutorial,1:30-2:30,Mon,Odd(2023-24),Mr. Divesh Singh
,ame-i,ds,cr15,tutorial,1:30-2:30,Mon,Odd(2023-24),Mr. Divesh Singh
sya1,edc,pu,,lecture,2:40-3:40,Mon,Odd(2023-24),Mr. Prashant B. Upadhyay
,iloc mis,vc,cr16,lecture,9:00-10:00,Mon,Odd(2023-24),Ms. Vricha S. Chavan
lya,bda,ak,,lecture,10:00-11:00,Thu,Odd(2023-24),Mr. Amit T. Kukreja
syb3,dld,sk,,lecture,10:00-11:00,Thu,Odd(2023-24),Dr. Sandhya D. Kadam
lya,mcs,pk,,lecture,11:00-12:00,Thu,Odd(2023-24),Dr. Pradnya V. Kamble
sya1,sbl-iii,ark,,lecture,12:30-1:30,Thu,Odd(2023-24),Unknown
tyb,dvd,svm,,lecture,12:30-1:30,Thu,Odd(2023-24),Mr. Sagar V. Mhatre
tyb,dsa,ra,,lecture,1:30-2:30,Thu,Odd(2023-24),Ms. Rashmi R. Adatkar
tyb,sbl-vii,rk,,lecture,2:40-3:40,Thu,Odd(2023-24),Ms. Rupali S. Kadu
,dld,sk,cr10,lecture,2:40-3:40,Thu,Odd(2023-24),Dr. Sandhya D. Kadam
,ent,pg,cr10,lecture,3:40-4:40,Thu,Odd(2023-24),Mrs. Priya Gupta
lya,ccs,td,,lecture,9:00-10:00,Thu,Odd(2023-24),Ms. Tilottama P. Dhake
syb,edc,na,,lecture,10:00-11:00,Tue,Odd(2023-24),Dr. Namrata Ansari
syb,dld,sk,,lecture,11:00-12:00,Tue,Odd(2023-24),Dr. Sandhya D. Kadam
,eics,sm,cr12,lecture,11:00-12:00,Tue,Odd(2023-24),Mr. Sandeep S. Mishra
lyb4,esr,ss,,lecture,12:30-1:30,Tue,Odd(2023-24),Ms. Swati H. Shinde
sya,am-iii,ds,,lecture,12:30-1:30,Tue,Odd(2023-24),Mr. Divesh Singh
,ame-i,ds,cr15,lecture,12:30-1:30,Tue,Odd(2023-24),Mr. Divesh Singh
sya,dld,sk,,lecture,1:30-2:30,Tue,Odd(2023-24),Dr. Sandhya D. Kadam
,dld,sk,cr15,lecture,1:30-2:30,Tue,Odd(2023-24),Dr. Sandhya D. Kadam
