faculty_initials
AK
AP
AR
EP
HA
RA
TD
RK
RS
Lab-603
PRH
SP
VC
KR
SM
RAK
SVM
PU
VG
MP
PK
MJ
PM
SD
JK
SS
Lab-605
PH
Lab-703
SK
NA
