subject_code
BDA
WN
ST
TD
CCS
VLSI
SAT-VII
EDLC
ESR
AI
ICC
DVD
DLD
EICS
NNDL
PBL-II
DTSP
MWE
BCE
SS
DSA
PH
PBL-I
